symbol,price,funding_rate_hourly,expected_funding_1h,entry_fees,net_pnl_1h,timestamp
ZEREBRO,0.02991,6.44774e-05,0.00644774,0.06999999999999999,-0.06355226,2025-12-11T09:36:29.701462Z
ZEREBRO,0.029801,2.42799e-05,0.00242799,0.06999999999999999,-0.06757200999999999,2025-12-11T10:12:01.930492Z
CC,0.073309,3.5548e-05,0.0035548,0.06999999999999999,-0.0664452,2025-12-11T11:10:23.331615Z
ZEREBRO,0.02976,5.65567e-05,0.00565567,0.06999999999999999,-0.06434432999999999,2025-12-11T12:21:05.336074Z
ZEREBRO,0.02919,3.12302e-05,0.00312302,0.06999999999999999,-0.06687697999999999,2025-12-11T13:31:29.863686Z
HYPE,27.498,4.977e-05,0.004977,0.06999999999999999,-0.065023,2025-12-11T14:13:56.800085Z
TST,0.014108,1.63498e-05,0.00163498,0.06999999999999999,-0.06836502,2025-12-11T15:12:37.075803Z
TST,0.013971,3.40693e-05,0.0034069300000000003,0.06999999999999999,-0.06659306999999999,2025-12-11T16:02:40.073368Z
ZEREBRO,0.029304,5.35165e-05,0.00535165,0.06999999999999999,-0.06464835,2025-12-11T16:15:42.166953Z
ZEREBRO,0.029269,5.20842e-05,0.00520842,0.06999999999999999,-0.06479157999999999,2025-12-11T17:17:45.217339Z
HEMI,0.014265,7.97018e-05,0.00797018,0.06999999999999999,-0.06202981999999999,2025-12-11T18:14:42.524171Z
HYPE,28.279,5.1862e-05,0.0051862,0.06999999999999999,-0.06481379999999999,2025-12-11T19:12:11.137041Z
ZORA,0.051165,8.53865e-05,0.00853865,0.06999999999999999,-0.06146134999999999,2025-12-11T20:12:17.966572Z
ZORA,0.051291,9.54937e-05,0.00954937,0.06999999999999999,-0.06045062999999999,2025-12-11T21:11:28.597880Z
ZORA,0.051515,0.0001512514,0.01512514,0.06999999999999999,-0.05487485999999999,2025-12-11T22:10:05.784543Z
ZORA,0.051248,0.0001458176,0.014581760000000001,0.06999999999999999,-0.055418239999999994,2025-12-11T23:09:56.351423Z
ZORA,0.051436,0.0001787926,0.01787926,0.06999999999999999,-0.05212073999999999,2025-12-12T00:48:28.338693Z
ZEREBRO,0.029489,9.01874e-05,0.009018739999999999,0.06999999999999999,-0.060981259999999995,2025-12-12T02:46:00.689078Z
CC,0.074732,2.20895e-05,0.00220895,0.06999999999999999,-0.06779104999999999,2025-12-12T03:51:16.813856Z
ZEREBRO,0.0292,1.28028e-05,0.00128028,0.06999999999999999,-0.06871972,2025-12-12T04:27:30.623140Z
ZORA,0.050653,2.36618e-05,0.0023661800000000003,0.06999999999999999,-0.06763382,2025-12-12T05:12:12.407616Z
